category,category_link,company_name
Artificial Intelligence (AI),https://www.crunchbase.com/search/organizations/field/organization/categories/artificial-intelligence,Anthropic
Generative AI,https://www.crunchbase.com/search/organizations/field/organization/categories/generative-ai,Anthropic
Information Technology,https://www.crunchbase.com/search/organizations/field/organization/categories/information-technology-dbca,Anthropic
Machine Learning,https://www.crunchbase.com/search/organizations/field/organization/categories/machine-learning,Anthropic
Artificial Intelligence (AI),https://www.crunchbase.com/search/organizations/field/organization/categories/artificial-intelligence,CoreWeave
Cloud Computing,https://www.crunchbase.com/search/organizations/field/organization/categories/cloud-computing,CoreWeave
Cloud Infrastructure,https://www.crunchbase.com/search/organizations/field/organization/categories/cloud-infrastructure,CoreWeave
Information Technology,https://www.crunchbase.com/search/organizations/field/organization/categories/information-technology-dbca,CoreWeave
Machine Learning,https://www.crunchbase.com/search/organizations/field/organization/categories/machine-learning,CoreWeave
Artificial Intelligence (AI),https://www.crunchbase.com/search/organizations/field/organization/categories/artificial-intelligence,Perplexity
Chatbot,https://www.crunchbase.com/search/organizations/field/organization/categories/chatbot-f0f7,Perplexity
Machine Learning,https://www.crunchbase.com/search/organizations/field/organization/categories/machine-learning,Perplexity
Natural Language Processing,https://www.crunchbase.com/search/organizations/field/organization/categories/natural-language-processing,Perplexity
Search Engine,https://www.crunchbase.com/search/organizations/field/organization/categories/search-engine-0d39,Perplexity
