@type,name,image,url,jobTitle,company_name
Person,Dario Amodei,"https://images.crunchbase.com/image/upload/c_thumb,h_256,w_256,f_auto,g_face,z_0.7,q_auto:eco,dpr_1/v1484971642/ysddve9geqdap1lkeflu.png?ik-sanitizeSvg=true",https://www.crunchbase.com/person/dario-amodei,CEO & Co-Founder,Anthropic
Person,Daniela Amodei,"https://images.crunchbase.com/image/upload/c_thumb,h_256,w_256,f_auto,g_face,z_0.7,q_auto:eco,dpr_1/5f54eeef7aab45a2a8f13087250901d3?ik-sanitizeSvg=true",https://www.crunchbase.com/person/daniela-amodei-d7d3,President & Co-Founder,Anthropic
Person,Mike Krieger,"https://images.crunchbase.com/image/upload/c_thumb,h_256,w_256,f_auto,g_face,z_0.7,q_auto:eco,dpr_1/eaxwwoi9tzhpy8xelrya?ik-sanitizeSvg=true",https://www.crunchbase.com/person/mike-krieger,CPO,Anthropic
Person,Jason Clinton,"https://images.crunchbase.com/image/upload/c_thumb,h_256,w_256,f_auto,g_face,z_0.7,q_auto:eco,dpr_1/493f3cf2f3fb4c5abce9dd90cbbeb6fa?ik-sanitizeSvg=true",https://www.crunchbase.com/person/jason-clinton-d6e3,CISO,Anthropic
Person,Krishna Rao,"https://images.crunchbase.com/image/upload/c_thumb,h_256,w_256,f_auto,g_face,z_0.7,q_auto:eco,dpr_1/czq2gc799e4swmpwf0qd?ik-sanitizeSvg=true",https://www.crunchbase.com/person/krishna-rao-99ab,CFO,Anthropic
Person,Jack Clark,"https://images.crunchbase.com/image/upload/c_thumb,h_256,w_256,f_auto,g_face,z_0.7,q_auto:eco,dpr_1/v1446790975/cd40mcxlumvlxniggrw1.jpg?ik-sanitizeSvg=true",https://www.crunchbase.com/person/jack-clark,Co-Founder,Anthropic
Person,Tom Brown,"https://images.crunchbase.com/image/upload/c_thumb,h_256,w_256,f_auto,g_face,z_0.7,q_auto:eco,dpr_1/sw1rkyvaa2iyqssidwup?ik-sanitizeSvg=true",https://www.crunchbase.com/person/tom-brown-096f,Co-Founder,Anthropic
Person,Sam McCandlish,"https://images.crunchbase.com/image/upload/c_thumb,h_256,w_256,f_auto,g_face,z_0.7,q_auto:eco,dpr_1/xuhe55irsl9wg5zkttti?ik-sanitizeSvg=true",https://www.crunchbase.com/person/sam-mccandlish-7e07,Co-Founder,Anthropic
Person,Michael Intrator,"https://images.crunchbase.com/image/upload/c_thumb,h_256,w_256,f_auto,g_face,z_0.7,q_auto:eco,dpr_1/e6c6f5e166b84883b1e64490ad79cc9b?ik-sanitizeSvg=true",https://www.crunchbase.com/person/michael-intrator,"CEO, Co-Founder, and President",CoreWeave
Person,Brannin McBee,"https://images.crunchbase.com/image/upload/c_thumb,h_256,w_256,f_auto,g_face,z_0.7,q_auto:eco,dpr_1/q91jpcwxhq823fxvz0w4?ik-sanitizeSvg=true",https://www.crunchbase.com/person/brannin-mcbee,CSO & Co-Founder,CoreWeave
Person,Mike Mattacola,"https://images.crunchbase.com/image/upload/c_thumb,h_256,w_256,f_auto,g_face,z_0.7,q_auto:eco,dpr_1/hhw42ffellihl4bdu59x?ik-sanitizeSvg=true",https://www.crunchbase.com/person/mike-mattacola-0e96,CBO,CoreWeave
Person,Nitin Agrawal,"https://images.crunchbase.com/image/upload/c_thumb,h_256,w_256,f_auto,g_face,z_0.7,q_auto:eco,dpr_1/uglgo1mrbqtukgloxtef?ik-sanitizeSvg=true",https://www.crunchbase.com/person/nitin-agrawal-1e23,CFO,CoreWeave
Person,Jeffrey Baker,"https://images.crunchbase.com/image/upload/c_thumb,h_256,w_256,f_auto,g_face,z_0.7,q_auto:eco,dpr_1/76c074c149ed4f62a2161326de92be04?ik-sanitizeSvg=true",https://www.crunchbase.com/person/jeffrey-baker-c260,CAO,CoreWeave
